,all_data,gpt,counts,script,gpt_script
179,x736c,"""x736c"" : 3; [7, 3, 6]",3,3,3
180,jb00w6XeLS346zX0,"""jb00w6XeLS346zX0"" : 6; [0, 0, 6, 3, 4, 0]",6,7,7
181,4I5b86942,"""4I5b86942"" : 5; [4, 5, 8, 6, 9]",5,7,7
182,YeWpst1MswU,"""YeWpst1MswU"" : 1; [1]",1,1,1
183,23u2h405Q7RMRues18C,"""23u2h405Q7RMRues18C"" : 7; [2, 3, 2, 4, 0, 5, 1, 8]",7,9,9
184,KXug7N,KXug7N : 1; [7],1,1,1
185,i0u5391pk,"""i0u5391pk"" : 4; [0, 5, 3, 9]",4,5,5
186,15ZaN0V5y68,"""15ZaN0V5y68"" : 5; [1, 5, 0, 5, 6, 8]",5,6,6
187,2w71J7NQ81Tb166q,"""2w71J7NQ81Tb166q"" : 8; [2, 7, 1, 7, 8, 1, 1, 6]",8,9,9
188,5D4k82v44A4j,"""5D4k82v44A4j"" : 8; [5, 4, 8, 4, 4]",8,7,7
189,6g2001I799,"""6g2001I799"" : 6; [2, 0, 0, 1, 7, 9]",6,8,8
190,q8LWG04,"q8LWG04 : 3; [8, 0, 4]",3,3,3
191,IhehF9WFScl,"""IhehF9WFScl"" : 1; [9]",1,1,1
192,555E6664o94,"""555E6664o94"" : 10; [5, 5, 5, 6, 6, 6, 4, 9, 4]",10,9,9
193,4v842DM659znyx14,"""4v842DM659znyx14"" : 8; [4, 8, 4, 2, 6, 5, 9, 1]",8,9,9
194,g1oD3Q0g6i,"""g1oD3Q0g6i"" : 4; [1, 3, 0, 6]",4,4,4
195,3B19J514Vg2wbL,"""3B19J514Vg2wbL"" : 7; [3, 1, 9, 5, 1, 4, 2]",7,7,7
196,zfpTVh57FT9n,"""zfpTVh57FT9n"" : 3; [5, 7, 9]",3,3,3
197,Xw0bP26N3dK6H,"Xw0bP26N3dK6H : 5; [0, 2, 6, 3, 6]",5,5,5
198,FYhGKeZU,FYhGKeZU : 0; [],0,0,0
199,4c7jW24P8885,"""4c7jW24P8885"" : 7; [4, 7, 2, 4, 8, 8, 5]",7,8,8
200,iS2yVh0f,"""iS2yVh0f"" : 3; [2, 0, 1]",3,2,2
201,WQgGGIu,"""WQgGGIu"" : 0; []",0,0,0
202,SBW6MgS,SBW6MgS : 1; [6],1,1,1
203,1ggKT9,"""1ggKT9"" : 1; [9]",1,2,2
204,Zwi4176989,"""Zwi4176989"" : 7; [4, 1, 7, 6, 9, 8, 9]",7,7,7
205,APdfwwXrR7,"""APdfwwXrR7"" : 1; [7]",1,1,1
206,C396S7Hb9cR,"""C396S7Hb9cR"" : 5; [3, 9, 6, 7, 9]",5,5,5
207,dR6836X161,"""dR6836X161"" : 5; [6, 8, 3, 6, 1]",5,7,7
208,Qm2Y2urJXZ,"The input ""Qm2Y2urJXZ"" has 4 digits: [2, 2, 0, 0]",2,2,2
209,YVkfGdj,YVkfGdj : 0; [],0,0,0
210,20E817L79,"""20E817L79"" : 5; [2, 0, 8, 1, 7]",5,7,7
211,Ndq019uef5Op7y,"Ndq019uef5Op7y : 5; [0, 1, 9, 5, 7]",5,5,5
212,dz67qfikG1,"""dz67qfikG1"" : 2; [6, 7, 1]",2,3,3
213,32qz973hR67d9C,"""32qz973hR67d9C"" : 7; [3, 2, 9, 7, 6, 7, 9]",7,8,8
214,PM,"""PM"" : 0; []",0,0,0
215,l67829JE90xR,"""l67829JE90xR"" : 6; [6, 7, 8, 2, 9, 0]",6,7,7
216,31j0NsM9cL8eP,"""31j0NsM9cL8eP"" : 5; [3, 1, 0, 9, 8]",5,5,5
217,i0tnus9,"""i0tnus9"" : 1; [9]",1,2,2
218,35y2Bed6,"""35y2Bed6"" : 4; [3, 5, 2, 6]",4,4,4
219,omD8lO4y74X3,"omD8lO4y74X3 : 6; [8, 4, 7, 4, 3]",6,5,5
220,236n9C9T,"236n9C9T : 4; [2, 3, 6, 9]",4,5,5
221,m0l3,"""m0l3"" : 2; [0, 3]",2,2,2
222,VUmC0BXQ,"""VUmC0BXQ"" : 1; [0]",1,1,1
223,yKQL30nQVTRC8,"yKQL30nQVTRC8 : 4; [3, 0, 8, 3]",4,3,3
224,0C733f7ok9m,"""0C733f7ok9m"" : 5; [0, 7, 3, 3, 9]",5,6,6
225,i61Rwn884I5,"""i61Rwn884I5"" : 5; [6, 1, 8, 8, 4, 5]",5,6,6
226,792Qj516,"""792Qj516"" : 5; [7, 9, 2, 5, 1]",5,6,6
227,2RfwQlK9Cm6w5z,"""2RfwQlK9Cm6w5z"" : 4; [2, 9, 6, 5]",4,4,4
228,u7349f40,"""u7349f40"" : 5; [7, 3, 4, 9, 4]",5,6,6
229,EF8763I99ohF94X,"EF8763I99ohF94X : 7; [8, 7, 6, 3, 9, 9, 4]",7,8,8
230,e7VGsz5vf67aK8X10,"""e7VGsz5vf67aK8X10"" : 6; [7, 5, 6, 8, 1, 0]",6,7,7
231,819qW6cPT00DBBt295,"""819qW6cPT00DBBt295"" : 7; [8, 1, 9, 6, 0, 0, 2]",7,9,9
232,972H66T21N2ZD8,"""972H66T21N2ZD8"" : 8; [9, 7, 2, 6, 6, 2, 1, 2, 8]",8,9,9
233,0925k9897RDYf2,"""0925k9897RDYf2"" : 6; [0, 9, 2, 5, 9, 7]",6,9,9
234,QzOA70A,"QzOA70A : 2; [7, 0]",2,2,2
235,0o74L19,"""0o74L19"" : 4; [0, 7, 4, 1, 9]",4,5,5
236,6ru0SMG6y6h,"""6ru0SMG6y6h"" : 4; [6, 0, 6, 6]",4,4,4
237,52m4j6q99,"""52m4j6q99"" : 5; [5, 2, 4, 6, 9]",5,6,6
238,o6816269J,"""o6816269J"" : 7; [6, 8, 1, 6, 2, 6, 9]",7,7,7
239,15pb7I44T80U,"""15pb7I44T80U"" : 6; [1, 5, 7, 4, 4, 8]",6,7,7
240,K6c9gB9765I,"K6c9gB9765I : 5; [6, 9, 7, 6, 5]",5,6,6
241,pvv6Q7605t7h3Q9X9,"""pvv6Q7605t7h3Q9X9"" : 8; [6, 7, 6, 0, 5, 7, 3, 9, 9]",8,9,9
242,9Dj93hDD22ES,"""9Dj93hDD22ES"" : 5; [9, 9, 3, 2, 2]",5,5,5
243,x1MXN6,"""x1MXN6"" : 2; [1, 6]",2,2,2
244,G1LFN27a26d,"""G1LFN27a26d"" : 4; [1, 2, 7, 2, 6]",4,5,5
245,W3A3o50n9dVU4,"""W3A3o50n9dVU4"" : 6; [3, 3, 5, 9, 4]",6,6,6
246,SLOn5NnuFX1N,"""SLOn5NnuFX1N"" : 3; [5, 1, 1]",3,2,2
247,z7Q5Xt7abPM,"""z7Q5Xt7abPM"" : 3; [7, 5, 7]",3,3,3
248,ZvR4h8,"""ZvR4h8"" : 2; [4, 8]",2,2,2
249,Hr4q8A2g9e8i63,"""Hr4q8A2g9e8i63"" : 8; [4, 8, 2, 9, 8, 6, 3]",8,7,7
250,arwbLCJO,"""arwbLCJO"" : 0; []",0,0,0
251,LfCngpRLv,"""LfCngpRLv"" : 0; []",0,0,0
252,1kBSNlGQx9,"""1kBSNlGQx9"" : 1; [9]",1,2,2
253,qX8S33E7jS086duu,"qX8S33E7jS086duu : 7; [8, 3, 3, 7, 0, 8, 6]",7,7,7
254,I5T,"""I5T"" : 1; [5]",1,1,1
255,J873C267Ow,"""J873C267Ow"" : 6; [8, 7, 3, 2, 6, 7]",6,6,6
256,jhHagDVWz,jhHagDVWz : 0; [],0,0,0
257,ZRm50037c6,"""ZRm50037c6"" : 5; [5, 0, 0, 3, 7]",5,6,6
258,fwq3Lfz11cYk,"""fwq3Lfz11cYk"" : 5; [3, 1, 1, 1, 1]",5,3,3
259,138e06Ayb034F,"""138e06Ayb034F"" : 7; [1, 3, 8, 0, 6, 0, 3, 4]",7,8,8
260,5y642k6gi4B,"""5y642k6gi4B"" : 6; [5, 6, 4, 2, 6, 4]",6,6,6
261,37s4lg54e,"""37s4lg54e"" : 4; [3, 7, 4, 5]",4,5,5
262,MhwY,"""MhwY"" : 0; []",0,0,0
263,513K720o972,"""513K720o972"" : 7; [5, 1, 3, 7, 2, 0, 9]",7,9,9
264,eTpyVzJrz6k,"""eTpyVzJrz6k"" : 1; [6]",1,1,1
265,7W41c24E1Hf3,"""7W41c24E1Hf3"" : 6; [7, 4, 1, 2, 4, 1, 3]",6,7,7
266,qJxzvO6Gk528z,"""qJxzvO6Gk528z"" : 4; [6, 5, 2, 8]",4,4,4
267,4L5RxMLN7x4kuj6,"""4L5RxMLN7x4kuj6"" : 5; [4, 5, 7, 4, 6]",5,5,5
268,ov5s3b2B3usAT,"ov5s3b2B3usAT : 6; [5, 3, 2, 3]",6,4,4
269,mLbjlqRlLm73,"mLbjlqRlLm73 : 2; [7, 3]",2,2,2
270,4zeI470p2qOfR7hJ24,"""4zeI470p2qOfR7hJ24"" : 7; [4, 7, 0, 2, 7, 2, 4]",7,8,8
271,2Lv0K9811tqDQj90,"""2Lv0K9811tqDQj90"" : 7; [2, 0, 9, 8, 1, 1, 9]",7,8,8
272,fE63Da2b9eX1pN85c9,"""fE63Da2b9eX1pN85c9"" : 7; [6, 3, 2, 9, 1, 8, 5]",7,8,8
273,1c34NZ,"""1c34NZ"" : 3; [1, 3, 4]",3,3,3
274,f75k3V6116Q1,"""f75k3V6116Q1"" : 7; [7, 5, 3, 6, 1, 1, 1]",7,8,8
275,a5o42096,"""a5o42096"" : 5; [5, 4, 2, 0, 9, 6]",5,6,6
276,qm9Xq9MK16o5pO,"""qm9Xq9MK16o5pO"" : 5; [9, 9, 1, 6, 5]",5,5,5
277,921p6Aiibu291w,"""921p6Aiibu291w"" : 6; [9, 2, 1, 6, 2, 9]",6,7,7
278,fM8po7KuK1DR19V,"""fM8po7KuK1DR19V"" : 4; [8, 7, 1, 9]",4,5,5
279,bBRg,bBRg : 0; [],0,0,0
280,x77UI77C9a7YDH5J1,"""x77UI77C9a7YDH5J1"" : 6; [7, 7, 9, 7, 5, 1]",6,8,8
281,6ND8wP76D7T9ot,"""6ND8wP76D7T9ot"" : 5; [6, 8, 7, 7, 9]",5,6,6
282,8b9nuB,"""8b9nuB"" : 3; [8, 9, 0]",3,2,2
283,9QW9331ImPk8h93Ko2,"""9QW9331ImPk8h93Ko2"" : 8; [9, 3, 3, 1, 8, 9, 3, 2]",8,9,9
