,all_data,gpt,counts,script,gpt_script
37,bbWWbbjZ,"bbWWbbjZ : 8; [b, b, W, W, b, b, j, Z]",8,8,8
38,eDeoalNVM,"eDeoalNVM : 9; [e, D, e, o, a, l, N, V, M]",9,9,9
39,qoyzwcNt,"qoyzwcNt : 8; [q, o, y, z, w, c, N, t]",8,8,8
40,ngmwliDdsP,"ngmwliDdsP : 10; [n, g, m, w, l, i, D, d, s, P]",10,10,10
41,bzybbbgbbbb,"bzybbbgbbbb : 12; [b, z, y, b, b, b, g, b, b, b, b, b]",12,11,11
42,yyEORr,"yyEORr : 6; [y, y, E, O, R, r]",6,6,6
43,iklqZ,"iklqZ : 5; [i, k, l, q, Z]",5,5,5
44,bbbbbbbbbcbQ,"bbbbbbbbbcbQ : 12; [b, b, b, b, b, b, b, b, b, c, b, Q]",12,12,12
45,tjkbQQBZqZabzPj,"tjkbQQBZqZabzPj : 15; [t, j, k, b, Q, Q, B, Z, q, Z, a, b, z, P, j]",15,15,15
46,bbbbbbbWhbUbb,"bbbbbWhbUbb : 11; [b, b, b, b, b, b, W, h, b, U, b]",11,13,13
47,XSifweSi,"XSifweSi : 8; [X, S, i, f, w, e, S, i]",8,8,8
48,aqTBUcBP,"aqTBUcBP : 8; [a, q, T, B, U, c, B, P]",8,8,8
49,BBNtNEJeORj,"BBNtNEJeORj : 11; [B, B, N, t, N, E, J, e, O, R, j]",11,11,11
50,QXZAobovXhOV,"QXZAobovXhOV : 12; [Q, X, Z, A, o, b, o, v, X, h, O, V]",12,12,12
51,bbbbbbbWdbbb,"bbbbbbbWdbbb : 12; [b, b, b, b, b, b, b, W, d, b, b, b]",12,12,12
52,SVEjp,"SVEjp : 5; [S, V, E, j, p]",5,5,5
53,ElGklwTlwu,"ElGklwTlwu : 10; [E, l, G, k, l, w, T, l, w, u]",10,10,10
54,stMsByx,"stMsByx : 7; [s, t, M, s, B, y, x]",7,7,7
55,nXfFaSoQDQ,"nXfFaSoQDQ : 10; [n, X, f, F, a, S, o, Q, D, Q]",10,10,10
56,fNvsIexdvZSgWA,"fNvsIexdvZSgWA : 14; [f, N, v, s, I, e, x, d, v, Z, S, g, W, A]",14,14,14
57,bbbbSR,"bbbbSR : 6; [b, b, b, b, S, R]",6,6,6
58,zoAKuEervGcTw,"zoAKuEervGcTw : 13; [z, o, A, K, u, E, e, r, v, G, c, T, w]",13,13,13
59,bbbbbFJbbbbbw,"bbbbbFJbbbbbw : 13; [b, b, b, b, b, F, J, b, b, b, b, b, w]",13,13,13
60,KaxMM,"KaxMM : 5; [K, a, x, M, M]",5,5,5
61,QiXoFQvLVCuwiaS,"QiXoFQvLVCuwiaS : 15; [Q, i, X, o, F, Q, v, L, V, C, u, w, i, a, S]",15,15,15
62,GzjhfXo,"GzjhfXo : 7; [G, z, j, h, f, X, o]",7,7,7
63,cccTDc,"cccTDc : 6; [c, c, c, T, D, c]",6,6,6
64,cccQcVVccscc,"cccQcVVccscc : 12; [c, c, c, Q, c, V, V, c, c, s, c, c]",12,12,12
65,lxKmsA,"lxKmsA : 6; [l, x, K, m, s, A]",6,6,6
66,mcqhcM,"mcqhcM : 6; [m, c, q, h, c, M]",6,6,6
67,ObihWboeCeL,"ObihWboeCeL : 11; [O, b, i, h, W, b, o, e, C, e, L]",11,11,11
68,NOvngWsW,"NOvngWsW : 8; [N, O, v, n, g, W, s, W]",8,8,8
69,jDcc,"jDcc : 4; [j, D, c, c]",4,4,4
70,nFXMagtqNnrW,"nFXMagtqNnrW : 12; [n, F, X, M, a, g, t, q, N, n, r, W]",12,12,12
71,AsKXrB,"AsKXrB : 6; [A, s, K, X, r, B]",6,6,6
72,eccLUcccc,"eccLUcccc : 9; [e, c, c, L, U, c, c, c, c]",9,9,9
73,XepsCtdPd,"XepsCtdPd : 9; [X, e, p, s, C, t, d, P, d]",9,9,9
74,EpUKrz,"EpUKrz : 6; [E, p, U, K, r, z]",6,6,6
75,YwnPDw,"YwnPDw : 6; [Y, w, n, P, D, w]",6,6,6
76,yoXvClNsJSq,"yoXvClNsJSq : 11; [y, o, X, v, C, l, N, s, J, S, q]",11,11,11
77,GrDZGUVG,"GrDZGUVG : 8; [G, r, D, Z, G, U, V, G]",8,8,8
78,BoZPQVawqUvk,"BoZPQVawqUvk : 12; [B, o, Z, P, Q, V, a, w, q, U, v, k]",12,12,12
79,cccrcccdcccc,"cccrcccdcccc : 12; [c, c, c, r, c, c, c, d, c, c, c, c]",12,12,12
80,vVSGgCjqXMziyW,"vVSGgCjqXMziyW : 14; [v, V, S, G, g, C, j, q, X, M, z, i, y, W]",14,14,14
81,KNgasCyL,"KNgasCyL : 8; [K, N, g, a, s, C, y, L]",8,8,8
82,eyxmhv,"eyxmhv : 6; [e, y, x, m, h, v]",6,6,6
83,ccccgcccccOc,"ccccgcccccOc : 11; [c, c, c, c, g, c, c, c, c, c, O, c]",11,12,12
84,zEDAWEOEaR,"zEDAWEOEaR : 10; [z, E, D, A, W, E, O, E, a, R]",10,10,10
85,czfccc,"czfccc : 6; [c, z, f, c, c, c]",6,6,6
86,cccctcccZc,"cccctcccZc : 10; [c, c, c, c, t, c, c, c, Z, c]",10,10,10
87,WNrWJtwQgvP,"WNrWJtwQgvP : 11; [W, N, r, W, J, t, w, Q, g, v, P]",11,11,11
88,ccccccXccK,"ccccccXccK : 10; [c, c, c, c, c, c, X, c, c, K]",10,10,10
89,XlvVWX,"XlvVWX : 6; [X, l, v, V, W, X]",6,6,6
90,ibBepVXfLM,"ibBepVXfLM : 10; [i, b, B, e, p, V, X, f, L, M]",10,10,10
91,PXDCGzYh,"PXDCGzYh : 8; [P, X, D, C, G, z, Y, h]",8,8,8
92,eCGivJBObS,"eCGivJBObS : 10; [e, C, G, i, v, J, B, O, b, S]",10,10,10
93,ioFUDuSYpQNYU,"ioFUDuSYpQNYU : 13; [i, o, F, U, D, u, S, Y, p, Q, N, Y, U]",13,13,13
94,arCzc,"arCzc : 5; [a, r, C, z, c]",5,5,5
95,tEjfwO,"tEjfwO : 6; [t, E, j, f, w, O]",6,6,6
96,QHSrOQXHY,"QHSrOQXHY : 9; [Q, H, S, r, O, Q, X, H, Y]",9,9,9
97,Cdqdddmgdd,"Cdqdddmgdd : 10; [C, d, q, d, d, d, m, g, d, d]",10,10,10
98,WmsLKQTDfURToK,"WmsLKQTDfURToK : 14; [W, m, s, L, K, Q, T, D, f, U, R, T, o, K]",14,14,14
99,dddqddMddddddd,"dddqddMddddddd : 14; [d, d, d, q, d, d, M, d, d, d, d, d, d, d]",14,14,14
100,PpkBbASTcq,"PpkBbASTcq : 10; [P, p, k, B, b, A, S, T, c, q]",10,10,10
101,CzPvxbo,"CzPvxbo : 7; [C, z, P, v, x, b, o]",7,7,7
102,dodddLHdd,"dodddLHdd : 9; [d, o, d, d, d, L, H, d, d]",9,9,9
103,UhroTJryT,"UhroTJryT : 9; [U, h, r, o, T, J, r, y, T]",9,9,9
104,NDkrurgZNVbdoww,"NDkrurgZNVbdoww : 15; [N, D, k, r, u, r, g, Z, N, V, b, d, o, w, w]",15,15,15
105,lEjItTXUKfa,"lEjItTXUKfa : 12; [l, E, j, I, t, T, X, U, K, f, a]",12,11,11
106,IwaxDVvUuS,"IwaxDVvUuS : 10; [I, w, a, x, D, V, v, U, u, S]",10,10,10
107,MZxFXZVZXWPKF,"MZxFXZVZXWPKF : 13; [M, Z, x, F, X, Z, V, Z, X, W, P, K, F]",13,13,13
108,aYHgXJkEunLHyDT,"aYHgXJkEunLHyDT : 15; [a, Y, H, g, X, J, k, E, u, n, L, H, y, D, T]",15,15,15
109,urZqZQKRd,"urZqZQKRd : 9; [u, r, Z, q, Z, Q, K, R, d]",9,9,9
110,huhJQZ,"huhJQZ : 6; [h, u, h, J, Q, Z]",6,6,6
111,UaFxzRJAUPqbsek,"UaFxzRJAUPqbsek : 15; [U, a, F, x, z, R, J, A, U, P, q, b, s, e, k]",15,15,15
112,BZzNpJvc,"BZzNpJvc : 8; [B, Z, z, N, p, J, v, c]",8,8,8
113,sPacdwwyeYdPqV,"sPacdwwyeYdPqV : 14; [s, P, a, c, d, w, w, y, e, Y, d, P, q, V]",14,14,14
114,dSZddVdddddUdddd,"dSZddVdddddUdddd : 18; [d, S, Z, d, d, V, d, d, d, d, d, U, d, d, d, d, d, d]",18,16,16
115,muILOHGwNtQSog,"muILOHGwNtQSog : 14; [m, u, I, L, O, H, G, w, N, t, Q, S, o, g]",14,14,14
116,djdfddddRedd,"djdfddddRedd : 12; [d, j, d, f, d, d, d, d, R, e, d, d]",12,12,12
117,KodQzFLVfs,"KodQzFLVfs : 10; [K, o, d, Q, z, F, L, V, f, s]",10,10,10
118,dAdddCR,"dAdddCR : 7; [d, A, d, d, d, C, R]",7,7,7
119,hIMCdd,"hIMCdd : 6; [h, I, M, C, d, d]",6,6,6
120,tCnHYSE,"tCnHYSE : 7; [t, C, n, H, Y, S, E]",7,7,7
121,JeOeee,"JeOeee : 6; [J, e, O, e, e, e]",6,6,6
122,iQvwMHT,"iQvwMHT : 7; [i, Q, v, w, M, H, T]",7,7,7
123,NXkyvbPtPTg,"NXkyvbPtPTg : 11; [N, X, k, y, v, b, P, t, P, T, g]",11,11,11
124,AbrIDQFJUPtMeQ,"AbrIDQFJUPtMeQ : 14; [A, b, r, I, D, Q, F, J, U, P, t, M, e, Q]",14,14,14
125,wHCbFuUSm,"wHCbFuUSm : 9; [w, H, C, b, F, u, U, S, m]",9,9,9
126,vYskumXbek,"vYskumXbek : 10; [v, Y, s, k, u, m, X, b, e, k]",10,10,10
127,CBjHBNcObT,"CBjHBNcObT : 10; [C, B, j, H, B, N, c, O, b, T]",10,10,10
128,tJkWrbfGy,"tJkWrbfGy : 9; [t, J, k, W, r, b, f, G, y]",9,9,9
129,cAPtGlIhBXFr,"cAPtGlIhBXFr : 12; [c, A, P, t, G, l, I, h, B, X, F, r]",12,12,12
130,owsgBKMFsgoOwc,"owsgBKMFsgoOwc : 13; [o, w, s, g, B, K, M, F, s, g, o, O, w, c]",13,14,14
131,bPKYExcCkAIgdU,"bPKYExcCkAIgdU : 14; [b, P, K, Y, E, x, c, C, k, A, I, g, d, U]",14,14,14
132,eeeYeeeZee,"eeeYeeeZee : 10; [e, e, e, Y, e, e, e, Z, e, e]",10,10,10
133,SrzKmND,"SrzKmND : 7; [S, r, z, K, m, N, D]",7,7,7
134,meJWU,"meJWU : 5; [m, e, J, W, U]",5,5,5
135,KcrAKTiWzPALj,"KcrAKTiWzPALj : 13; [K, c, r, A, K, T, i, W, z, P, A, L, j]",13,13,13
136,PyCaBOjTPuMkhv,"PyCaBOjTPuMkhv : 14; [P, y, C, a, B, O, j, T, P, u, M, k, h, v]",14,14,14
137,RDQfxjuosX,"RDQfxjuosX : 10; [R, D, Q, f, x, j, u, o, s, X]",10,10,10
138,iFWhiCSBtEdKF,"iFWhiCSBtEdKF : 13; [i, F, W, h, i, C, S, B, t, E, d, K, F]",13,13,13
139,OOXsprFtJN,"OOXsprFtJN : 10; [O, O, X, s, p, r, F, t, J, N]",10,10,10
140,neeeeeheeeeezee,"neeeeeheeeeezee : 15; [n, e, e, e, e, e, h, e, e, e, e, e, z, e, e]",15,15,15
141,iolFfcFLl,"iolFfcFLl : 9; [i, o, l, F, f, c, F, L, l]",9,9,9
142,kBmHBu,"kBmHBu : 6; [k, B, m, H, B, u]",6,6,6
143,veyeN,"veyeN : 6; [v, e, y, e, N]",6,5,5
144,BOGtwD,"BOGtwD : 6; [B, O, G, t, w, D]",6,6,6
145,hcKKhCTa,"hcKKhCTa : 8; [h, c, K, K, h, C, T, a]",8,8,8
146,aWvMEPYMJ,"aWvMEPYMJ : 9; [a, W, v, M, E, P, Y, M, J]",9,9,9
147,EKTyrFJvOKqpje,"EKTyrFJvOKqpje : 14; [E, K, T, y, r, F, J, v, O, K, q, p, j, e]",14,14,14
148,dzklgB,"dzklgB : 6; [d, z, k, l, g, B]",6,6,6
149,vWhvLYD,"vWhvLYD : 7; [v, W, h, v, L, Y, D]",7,7,7
150,fffqfXffmffffm,"fffqfXffmffffm : 14; [f, f, f, q, f, X, f, f, m, f, f, f, f, m]",14,14,14
151,fVfIffffff,"fVfIffffff : 10; [f, V, f, I, f, f, f, f, f, f]",10,10,10
152,RiofgWKKJPlEJjO,"RiofgWKKJPlEJjO : 15; [R, i, o, f, g, W, K, K, J, P, l, E, J, j, O]",15,15,15
153,JhyvQyPZVdZtrRJ,"JhyvQyPZVdZtrRJ : 14; [J, h, y, v, Q, y, P, Z, V, d, Z, t, r, R, J]",14,15,15
154,wfffffffffvYfrff,"wfffffffffvYfrff : 15; [w, f, f, f, f, f, f, f, f, f, v, Y, f, r, f, f]",15,16,16
155,oEyQdwmsvhLvARh,"oEyQdwmsvhLvARh : 15; [o, E, y, Q, d, w, m, s, v, h, L, v, A, R, h]",15,15,15
156,ffffffefrfff,"ffffffefrfff : 13; [f, f, f, f, f, f, e, f, r, f, f, f, f]",13,12,12
157,MUcIZnDXGao,"MUcIZnDXGao : 11; [M, U, c, I, Z, n, D, X, G, a, o]",11,11,11
158,EJCusjQFViQQSsM,"EJCusjQFViQQSsM : 14; [E, J, C, u, s, j, Q, F, V, i, Q, Q, S, s, M]",14,15,15
159,EupIuDSOlpyxD,"EupIuDSOlpyxD : 13; [E, u, p, I, u, D, S, O, l, p, y, x, D]",13,13,13
160,cPIYzMEXGHCVgQ,"cPIYzMEXGHCVgQ : 14; [c, P, I, Y, z, M, E, X, G, H, C, V, g, Q]",14,14,14
161,qytAqpt,"qytAqpt : 7; [q, y, t, A, q, p, t]",7,7,7
162,GuaTGwBc,"GuaTGwBc : 8; [G, u, a, T, G, w, B, c]",8,8,8
163,WpkjS,"WpkjS : 5; [W, p, k, j, S]",5,5,5
164,KbGMswFbUqVkKF,"KbGMswFbUqVkKF : 13; [K, b, G, M, s, w, F, b, U, q, V, k, K, F]",13,14,14
165,tlbGy,"tlbGy : 5; [t, l, b, G, y]",5,5,5
166,XEVvsofIVCrvrr,"XEVvsofIVCrvrr : 14; [X, E, V, v, s, o, f, I, V, C, r, v, r, r]",14,14,14
167,usjVnqZLYBENQ,"usjVnqZLYBENQ : 13; [u, s, j, V, n, q, Z, L, Y, B, E, N, Q]",13,13,13
168,ONaSq,"ONaSq : 5; [O, N, a, S, q]",5,5,5
169,DsKdkwhBzIgmCMU,"DsKdkwhBzIgmCMU : 15; [D, s, K, d, k, w, h, B, z, I, g, m, C, M, U]",15,15,15
170,HHRHhaYXTjoZHru,"HHRHhaYXTjoZHru : 15; [H, H, R, H, h, a, Y, X, T, j, o, Z, H, r, u]",15,15,15
171,nafSdgDmTg,"nafSdgDmTg : 10; [n, a, f, S, d, g, D, m, T, g]",10,10,10
172,lIpLiCy,"lIpLiCy : 7; [l, I, p, L, i, C, y]",7,7,7
173,qHHLqZzgJs,"qHHLqZzgJs : 10; [q, H, H, L, q, Z, z, g, J, s]",10,10,10
174,cVEDG,"cVEDG : 5; [c, V, E, D, G]",5,5,5
175,iZOGFKebxwLMZr,"iZOGFKebxwLMZr : 14; [i, Z, O, G, F, K, e, b, x, w, L, M, Z, r]",14,14,14
176,EQVaZY,"EQVaZY : 6; [E, Q, V, a, Z, Y]",6,6,6
177,fffffWfcffffU,"fffffWfcffffU : 13; [f, f, f, f, f, W, f, c, f, f, f, f, U]",13,13,13
178,aKotKQlIfMVa,"aKotKQlIfMVa : 12; [a, K, o, t, K, Q, l, I, f, M, V, a]",12,12,12
179,fffJTfffffffffjf,"fffJTfffffffffjf : 15; [f, f, f, J, T, f, f, f, f, f, f, f, f, j, f]",15,16,16
180,oeqFARHGYhvDV,"oeqFARHGYhvDV : 13; [o, e, q, F, A, R, H, G, Y, h, v, D, V]",13,13,13
181,gggggggggglA,"gggggggggglA : 11; [g, g, g, g, g, g, g, g, g, g, l, A]",11,12,12
182,VHosmmHniV,"VHosmmHniV : 10; [V, H, o, s, m, m, H, n, i, V]",10,10,10
183,vgYglgg,"vgYglgg : 7; [v, g, Y, g, l, g, g]",7,7,7
184,GkpNeTxIzWz,"GkpNeTxIzWz : 11; [G, k, p, N, e, T, x, I, z, W, z]",11,11,11
185,kKUDbl,"kKUDbl : 6; [k, K, U, D, b, l]",6,6,6
186,bFlnPFF,"bFlnPFF : 7; [b, F, l, n, P, F, F]",7,7,7
187,iyjnIUXePaP,"iyjnIUXePaP : 11; [i, y, j, n, I, U, X, e, P, a, P]",11,11,11
188,PRvbzTcnaN,"PRvbzTcnaN : 10; [P, R, v, b, z, T, c, n, a, N]",10,10,10
189,PfyUZHrkAQLwWa,"PfyUZHrkAQLwWa : 14; [P, f, y, U, Z, H, r, k, A, Q, L, w, W, a]",14,14,14
190,oRcvd,"oRcvd : 5; [o, R, c, v, d]",5,5,5
191,VYguhGUql,"VYguhGUql : 9; [V, Y, g, u, h, G, U, q, l]",9,9,9
192,OthFskhnnOUAaQw,"OthFskhnnOUAaQw : 15; [O, t, h, F, s, k, h, n, n, O, U, A, a, Q, w]",15,15,15
193,OMAlsc,"OMAlsc : 6; [O, M, A, l, s, c]",6,6,6
194,pYhDwFVm,"pYhDwFVm : 8; [p, Y, h, D, w, F, V, m]",8,8,8
195,vqqEgUL,"vqqEgUL : 7; [v, q, q, E, g, U, L]",7,7,7
196,VgScg,"VgScg : 5; [V, g, S, c, g]",5,5,5
197,JMEbCSUBXdU,"JMEbCSUBXdU : 11; [J, M, E, b, C, S, U, B, X, d, U]",11,11,11
198,Zgzg,"Zgzg : 4; [Z, g, z, g]",4,4,4
199,Kvpuae,"Kvpuae : 6; [K, v, p, u, a, e]",6,6,6
200,KzuMgUNDM,"KzuMgUNDM : 9; [K, z, u, M, g, U, N, D, M]",9,9,9
201,IbpwDujajWalQ,"IbpwDujajWalQ : 12; [I, b, p, w, D, u, j, a, j, W, a, l, Q]",12,13,13
202,BqlxhQ,"BqlxhQ : 6; [B, q, l, x, h, Q]",6,6,6
203,uWpnV,"uWpnV : 5; [u, W, p, n, V]",5,5,5
204,pgwgXggtgggg,"pgwgXggtgggg : 12; [p, g, w, g, X, g, g, t, g, g, g, g]",12,12,12
205,SogrYg,"SogrYg : 6; [S, o, g, r, Y, g]",6,6,6
206,gggggGgggl,"gggggGgggl : 10; [g, g, g, g, g, G, g, g, g, l]",10,10,10
207,dyvqwXXPckQtdn,"dyvqwXXPckQtdn : 14; [d, y, v, q, w, X, X, P, c, k, Q, t, d, n]",14,14,14
208,JUwqavaXLuImHY,"JUwqavaXLuImHY : 14; [J, U, w, q, a, v, a, X, L, u, I, m, H, Y]",14,14,14
209,ggFggggggguggg,"ggFggggggguggg : 14; [g, g, F, g, g, g, g, g, g, g, u, g, g, g]",14,14,14
210,XhhhJhhhhhhAhhhv,"XhhhJhhhhhhAhhhv : 15; [X, h, h, h, J, h, h, h, h, h, h, A, h, h, h, v]",15,16,16
211,VXVNESjUuzFQ,"VXVNESjUuzFQ : 12; [V, X, V, N, E, S, j, U, u, z, F, Q]",12,12,12
212,LyAktDj,"LyAktDj : 7; [L, y, A, k, t, D, j]",7,7,7
213,TVbHHgRqT,"TVbHHgRqT : 9; [T, V, b, H, H, g, R, q, T]",9,9,9
214,CcSnMAiHwKzxOr,"CcSnMAiHwKzxOr : 14; [C, c, S, n, M, A, i, H, w, K, z, x, O, r]",14,14,14
215,hhRhDh,"hhRhDh : 6; [h, h, R, h, D, h]",6,6,6
216,omsuQB,"omsuQB : 6; [o, m, s, u, Q, B]",6,6,6
217,UEaiNXeUZn,"UEaiNXeUZn : 10; [U, E, a, i, N, X, e, U, Z, n]",10,10,10
218,Dhhhyhhhhhhhhh,"Dhhhyhhhhhhhhh : 14; [D, h, h, h, y, h, h, h, h, h, h, h, h, h]",14,14,14
219,hhHKdhhq,"hhHKdhhq : 8; [h, h, H, K, d, h, h, q]",8,8,8
220,wFNubqWXUtH,"wFNubqWXUtH : 11; [w, F, N, u, b, q, W, X, U, t, H]",11,11,11
221,VUYKzogbsCtVfp,"VUYKzogbsCtVfp : 13; [V, U, Y, K, z, o, g, b, s, C, t, V, f, p]",13,14,14
222,xzjcxcKy,"xzjcxcKy : 8; [x, z, j, c, x, c, K, y]",8,8,8
223,hzhmahhhh,"hzhmahhhh : 9; [h, z, h, m, a, h, h, h, h]",9,9,9
224,oJwYuv,"oJwYuv : 6; [o, J, w, Y, u, v]",6,6,6
225,hhhhhhhhbhhhhP,"hhhhhhhhbhhhhP : 12; [h, h, h, h, h, h, h, h, b, h, h, h]",12,14,14
226,OVMjRVNdjHOOUzm,"OVMjRVNdjHOOUzm : 15; [O, V, M, j, R, V, N, d, j, H, O, O, U, z, m]",15,15,15
227,ydcwxFWgp,"ydcwxFWgp : 9; [y, d, c, w, x, F, W, g, p]",9,9,9
228,CoQQaThHheBEXC,"CoQQaThHheBEXC : 13; [C, o, Q, Q, a, T, h, H, h, e, B, E, X, C]",13,14,14
229,zfHFOGHWscUKDUt,"zfHFOGHWscUKDUt : 15; [z, f, H, F, O, G, H, W, s, c, U, K, D, U, t]",15,15,15
230,hphhhhThhhhhhh,"hphhhhThhhhhhh : 14; [h, p, h, h, h, h, T, h, h, h, h, h, h, h]",14,14,14
231,qstZCSIXZ,"qstZCSIXZ : 9; [q, s, t, Z, C, S, I, X, Z]",9,9,9
232,UvMiDNaGDxnlVU,"UvMiDNaGDxnlVU : 14; [U, v, M, i, D, N, a, G, D, x, n, l, V, U]",14,14,14
233,xusWaDqlRB,"xusWaDqlRB : 10; [x, u, s, W, a, D, q, l, R, B]",10,10,10
234,VckQgFIPIDaWa,"VckQgFIPIDaWa : 13; [V, c, k, Q, g, F, I, P, I, D, a, W, a]",13,13,13
235,zDbMRsdOcVfT,"zDbMRsdOcVfT : 12; [z, D, b, M, R, s, d, O, c, V, f, T]",12,12,12
236,ZKmjkcNyooC,"ZKmjkcNyooC : 11; [Z, K, m, j, k, c, N, y, o, o, C]",11,11,11
237,rKiATpBfhWnI,"rKiATpBfhWnI : 12; [r, K, i, A, T, p, B, f, h, W, n, I]",12,12,12
238,lDwmFkrxsJBZH,"lDwmFkrxsJBZH : 13; [l, D, w, m, F, k, r, x, s, J, B, Z, H]",13,13,13
239,zxUKyEPMNyuLVz,"zxUKyEPMNyuLVz : 15; [z, x, U, K, y, E, P, M, N, y, u, L, V, z]",15,14,14
240,NqxZJrah,"NqxZJrah : 8; [N, q, x, Z, J, r, a, h]",8,8,8
241,yDPlgqRKq,"yDPlgqRKq : 9; [y, D, P, l, g, q, R, K, q]",9,9,9
242,wzukuVF,"wzukuVF : 7; [w, z, u, k, u, V, F]",7,7,7
243,ZiiNiiKQ,"ZiiNiiKQ : 8; [Z, i, i, N, i, i, K, Q]",8,8,8
244,smluYSAVGnCfObp,"smluYSAVGnCfObp : 14; [s, m, l, u, Y, S, A, V, G, n, C, f, O, b, p]",14,15,15
245,DpStco,"DpStco : 6; [D, p, S, t, c, o]",6,6,6
246,lLRudNlsCwXMco,"lLRudNlsCwXMco : 14; [l, L, R, u, d, N, l, s, C, w, X, M, c, o]",14,14,14
247,zideUbhV,"zideUbhV : 8; [z, i, d, e, U, b, h, V]",8,8,8
248,bBhiiii,"bBhiiii : 8; [b, B, h, i, i, i, i, i]",8,7,7
249,LuTpoWFophQoHUV,"LuTpoWFophQoHUV : 15; [L, u, T, p, o, W, F, o, p, h, Q, o, H, U, V]",15,15,15
250,MrFDR,"MrFDR : 5; [M, r, F, D, R]",5,5,5
