,all_data,gpt,counts,script,gpt_script
0,97,"""97"" : 2; [9, 7]",2,2,2
122,610,"""610"" : 3; [6, 1, 0]",3,3,3
123,109,"""109"" : 3; [1, 0, 9]",3,3,3
124,483,"""483"" : 3; [4, 8, 3]",3,3,3
125,787,"""787"" : 3; [7, 8, 7]",3,3,3
126,408,"""408"" : 3; [4, 0, 8]",3,3,3
127,908,"""908"" : 3; [9, 0, 8]",3,3,3
128,960,"""960"" : 3; [9, 6, 0]",3,3,3
129,232,"""232"" : 3; [2, 3, 2]",3,3,3
130,5995,"""5995"" : 4; [5, 9, 9, 5]",4,4,4
131,3202,"""3202"" : 4; [3, 2, 0, 2]",4,4,4
132,4523,"""4523"" : 4; [4, 5, 2, 3]",4,4,4
133,5363,"""5363"" : 4; [5, 3, 6, 3]",4,4,4
134,7176,"""7176"" : 4; [7, 1, 7, 6]",4,4,4
135,5157,"""5157"" : 4; [5, 1, 5, 7]",4,4,4
136,4276,"""4276"" : 4; [4, 2, 7, 6]",4,4,4
137,8534,"""8534"" : 4; [8, 5, 3, 4]",4,4,4
138,9088,"""9088"" : 4; [9, 0, 8, 8]",4,4,4
139,3693,"""3693"" : 4; [3, 6, 9, 3]",4,4,4
140,8803,"""8803"" : 4; [8, 8, 0, 3]",4,4,4
141,8811,"""8811"" : 4; [8, 8, 1, 1]",4,4,4
142,3454,"""3454"" : 4; [3, 4, 5, 4]",4,4,4
143,1246,"""1246"" : 4; [1, 2, 4, 6]",4,4,4
144,3302,"""3302"" : 4; [3, 3, 0, 2]",4,4,4
145,5607,"""5607"" : 4; [5, 6, 0, 7]",4,4,4
146,5333,"""5333"" : 4; [5, 3, 3, 3]",4,4,4
147,8986,"""8986"" : 4; [8, 9, 8, 6]",4,4,4
148,8975,"""8975"" : 4; [8, 9, 7, 5]",4,4,4
149,7910,"""7910"" : 4; [7, 9, 1, 0]",4,4,4
150,5899,"""5899"" : 4; [5, 8, 9, 9]",4,4,4
151,8016,"""8016"" : 4; [8, 0, 1, 6]",4,4,4
152,5445,"""5445"" : 4; [5, 4, 4, 5]",4,4,4
153,5911,"""5911"" : 4; [5, 9, 1, 1]",4,4,4
154,8530,"""8530"" : 4; [8, 5, 3, 0]",4,4,4
155,3610,"""3610"" : 4; [3, 6, 1, 0]",4,4,4
156,2822,"""2822"" : 4; [2, 8, 2, 2]",4,4,4
157,8654,"""8654"" : 4; [8, 6, 5, 4]",4,4,4
158,8976,"""8976"" : 4; [8, 9, 7, 6]",4,4,4
159,5791,"""5791"" : 4; [5, 7, 9, 1]",4,4,4
160,4670,"""4670"" : 4; [4, 6, 7, 0]",4,4,4
161,4393,"""4393"" : 4; [4, 3, 9, 3]",4,4,4
162,9239,"""9239"" : 4; [9, 2, 3, 9]",4,4,4
163,7518,"""7518"" : 4; [7, 5, 1, 8]",4,4,4
164,1380,"""1380"" : 4; [1, 3, 8, 0]",4,4,4
165,7261,"""7261"" : 4; [7, 2, 6, 1]",4,4,4
166,7752,"""7752"" : 4; [7, 7, 5, 2]",4,4,4
167,6390,"""6390"" : 4; [6, 3, 9, 0]",4,4,4
168,4278,"""4278"" : 4; [4, 2, 7, 8]",4,4,4
169,8238,"""8238"" : 4; [8, 2, 3, 8]",4,4,4
170,9096,"""9096"" : 4; [9, 0, 9, 6]",4,4,4
171,1313,"""1313"" : 4; [1, 3, 1, 3]",4,4,4
172,2997,"""2997"" : 4; [2, 9, 9, 7]",4,4,4
173,7768,"""7768"" : 4; [7, 7, 6, 8]",4,4,4
174,2705,"""2705"" : 4; [2, 7, 0, 5]",4,4,4
175,5715,"""5715"" : 4; [5, 7, 1, 5]",4,4,4
176,9155,"""9155"" : 4; [9, 1, 5, 5]",4,4,4
177,4336,"""4336"" : 4; [4, 3, 3, 6]",4,4,4
178,2473,"""2473"" : 4; [2, 4, 7, 3]",4,4,4
179,4575,"""4575"" : 4; [4, 5, 7, 5]",4,4,4
180,7957,"""7957"" : 4; [7, 9, 5, 7]",4,4,4
181,6964,"""6964"" : 4; [6, 9, 6, 4]",4,4,4
182,8317,"""8317"" : 4; [8, 3, 1, 7]",4,4,4
183,9415,"""9415"" : 4; [9, 4, 1, 5]",4,4,4
184,9613,"""9613"" : 4; [9, 6, 1, 3]",4,4,4
185,8229,"""8229"" : 4; [8, 2, 2, 9]",4,4,4
186,9336,"""9336"" : 4; [9, 3, 3, 6]",4,4,4
187,4675,"""4675"" : 4; [4, 6, 7, 5]",4,4,4
188,5746,"""5746"" : 4; [5, 7, 4, 6]",4,4,4
189,7172,"""7172"" : 4; [7, 1, 7, 2]",4,4,4
190,8404,"""8404"" : 4; [8, 4, 0, 4]",4,4,4
191,9395,"""9395"" : 4; [9, 3, 9, 5]",4,4,4
192,5822,"""5822"" : 4; [5, 8, 2, 2]",4,4,4
193,9613,"""9613"" : 4; [9, 6, 1, 3]",4,4,4
194,6366,"""6366"" : 4; [6, 3, 6, 6]",4,4,4
195,2668,"""2668"" : 4; [2, 6, 6, 8]",4,4,4
196,1933,"""1933"" : 4; [1, 9, 3, 3]",4,4,4
197,9384,"""9384"" : 4; [9, 3, 8, 4]",4,4,4
198,2867,"""2867"" : 4; [2, 8, 6, 7]",4,4,4
199,1656,"""1656"" : 4; [1, 6, 5, 6]",4,4,4
200,4794,"""4794"" : 4; [4, 7, 9, 4]",4,4,4
201,4321,"""4321"" : 4; [4, 3, 2, 1]",4,4,4
202,1078,"""1078"" : 4; [1, 0, 7, 8]",4,4,4
203,8269,"""8269"" : 4; [8, 2, 6, 9]",4,4,4
204,7863,"""7863"" : 4; [7, 8, 6, 3]",4,4,4
205,7434,"""7434"" : 4; [7, 4, 3, 4]",4,4,4
206,4318,"""4318"" : 4; [4, 3, 1, 8]",4,4,4
207,4234,"""4234"" : 4; [4, 2, 3, 4]",4,4,4
208,3411,"""3411"" : 4; [3, 4, 1, 1]",4,4,4
209,2812,"""2812"" : 4; [2, 8, 1, 2]",4,4,4
210,6638,"""6638"" : 4; [6, 6, 3, 8]",4,4,4
211,8607,"""8607"" : 4; [8, 6, 0, 7]",4,4,4
212,3135,"""3135"" : 4; [3, 1, 3, 5]",4,4,4
213,8731,"""8731"" : 4; [8, 7, 3, 1]",4,4,4
214,5574,"""5574"" : 4; [5, 5, 7, 4]",4,4,4
215,4562,"""4562"" : 4; [4, 5, 6, 2]",4,4,4
216,2717,"""2717"" : 4; [2, 7, 1, 7]",4,4,4
217,5896,"""5896"" : 4; [5, 8, 9, 6]",4,4,4
218,5479,"""5479"" : 4; [5, 4, 7, 9]",4,4,4
219,4875,"""4875"" : 4; [4, 8, 7, 5]",4,4,4
220,4405,"""4405"" : 4; [4, 4, 0, 5]",4,4,4
221,8373,"""8373"" : 4; [8, 3, 7, 3]",4,4,4
222,5572,"""5572"" : 4; [5, 5, 7, 2]",4,4,4
223,9764,"""9764"" : 4; [9, 7, 6, 4]",4,4,4
224,7555,"""7555"" : 4; [7, 5, 5, 5]",4,4,4
225,4821,"""4821"" : 4; [4, 8, 2, 1]",4,4,4
226,9771,"""9771"" : 4; [9, 7, 7, 1]",4,4,4
227,5968,"""5968"" : 4; [5, 9, 6, 8]",4,4,4
228,3541,"""3541"" : 4; [3, 5, 4, 1]",4,4,4
229,6250,"""6250"" : 4; [6, 2, 5, 0]",4,4,4
230,4912,"""4912"" : 4; [4, 9, 1, 2]",4,4,4
231,8133,"""8133"" : 4; [8, 1, 3, 3]",4,4,4
232,2944,"""2944"" : 4; [2, 9, 4, 4]",4,4,4
233,1297,"""1297"" : 4; [1, 2, 9, 7]",4,4,4
234,4070,"""4070"" : 4; [4, 0, 7, 0]",4,4,4
235,3348,"""3348"" : 4; [3, 3, 4, 8]",4,4,4
236,3477,"""3477"" : 4; [3, 4, 7, 7]",4,4,4
237,9990,"""9990"" : 4; [9, 9, 9, 0]",4,4,4
238,1818,"""1818"" : 4; [1, 8, 1, 8]",4,4,4
239,9661,"""9661"" : 4; [9, 6, 6, 1]",4,4,4
240,6440,"""6440"" : 4; [6, 4, 4, 0]",4,4,4
241,5331,"""5331"" : 4; [5, 3, 3, 1]",4,4,4
242,9845,"""9845"" : 4; [9, 8, 4, 5]",4,4,4
243,2824,"""2824"" : 4; [2, 8, 2, 4]",4,4,4
244,5310,"""5310"" : 4; [5, 3, 1, 0]",4,4,4
245,8506,"""8506"" : 4; [8, 5, 0, 6]",4,4,4
246,4158,"""4158"" : 4; [4, 1, 5, 8]",4,4,4
247,6104,"""6104"" : 4; [6, 1, 0, 4]",4,4,4
248,2803,"""2803"" : 4; [2, 8, 0, 3]",4,4,4
249,1720,"""1720"" : 4; [1, 7, 2, 0]",4,4,4
250,6005,"""6005"" : 4; [6, 0, 0, 5]",4,4,4
251,4768,"""4768"" : 4; [4, 7, 6, 8]",4,4,4
252,8218,"""8218"" : 4; [8, 2, 1, 8]",4,4,4
253,6719,"""6719"" : 4; [6, 7, 1, 9]",4,4,4
254,8616,"""8616"" : 4; [8, 6, 1, 6]",4,4,4
255,9889,"""9889"" : 4; [9, 8, 8, 9]",4,4,4
256,4243,"""4243"" : 4; [4, 2, 4, 3]",4,4,4
257,8939,"""8939"" : 4; [8, 9, 3, 9]",4,4,4
258,5558,"""5558"" : 4; [5, 5, 5, 8]",4,4,4
259,7412,"""7412"" : 4; [7, 4, 1, 2]",4,4,4
260,1290,"""1290"" : 4; [1, 2, 9, 0]",4,4,4
261,9234,"""9234"" : 4; [9, 2, 3, 4]",4,4,4
262,8656,"""8656"" : 4; [8, 6, 5, 6]",4,4,4
263,2362,"""2362"" : 4; [2, 3, 6, 2]",4,4,4
264,4171,"""4171"" : 4; [4, 1, 7, 1]",4,4,4
265,4726,"""4726"" : 4; [4, 7, 2, 6]",4,4,4
266,3989,"""3989"" : 4; [3, 9, 8, 9]",4,4,4
267,4339,"""4339"" : 4; [4, 3, 3, 9]",4,4,4
268,6229,"""6229"" : 4; [6, 2, 2, 9]",4,4,4
269,4942,"""4942"" : 4; [4, 9, 4, 2]",4,4,4
270,9485,"""9485"" : 4; [9, 4, 8, 5]",4,4,4
271,5935,"""5935"" : 4; [5, 9, 3, 5]",4,4,4
272,1870,"""1870"" : 4; [1, 8, 7, 0]",4,4,4
273,4259,"""4259"" : 4; [4, 2, 5, 9]",4,4,4
274,3543,"""3543"" : 4; [3, 5, 4, 3]",4,4,4
275,2142,"""2142"" : 4; [2, 1, 4, 2]",4,4,4
276,1217,"""1217"" : 4; [1, 2, 1, 7]",4,4,4
277,3447,"""3447"" : 4; [3, 4, 4, 7]",4,4,4
278,9518,"""9518"" : 4; [9, 5, 1, 8]",4,4,4
279,2021,"""2021"" : 4; [2, 0, 2, 1]",4,4,4
280,30827,"""30827"" : 5; [3, 0, 8, 2, 7]",5,5,5
281,34570,"""34570"" : 5; [3, 4, 5, 7, 0]",5,5,5
282,78613,"""78613"" : 5; [7, 8, 6, 1, 3]",5,5,5
283,79208,"""79208"" : 5; [7, 9, 2, 0, 8]",5,5,5
284,86581,"""86581"" : 5; [8, 6, 5, 8, 1]",5,5,5
285,48084,"""48084"" : 5; [4, 8, 0, 8, 4]",5,5,5
286,87550,"""87550"" : 5; [8, 7, 5, 5, 0]",5,5,5
287,69094,"""69094"" : 5; [6, 9, 0, 9, 4]",5,5,5
288,14607,"""14607"" : 5; [1, 4, 6, 0, 7]",5,5,5
289,98344,"""98344"" : 5; [9, 8, 3, 4, 4]",5,5,5
290,24400,"""24400"" : 5; [2, 4, 4, 0, 0]",5,5,5
291,95782,"""95782"" : 5; [9, 5, 7, 8, 2]",5,5,5
292,21743,"""21743"" : 5; [2, 1, 7, 4, 3]",5,5,5
293,20739,"""20739"" : 5; [2, 0, 7, 3, 9]",5,5,5
294,19575,"""19575"" : 5; [1, 9, 5, 7, 5]",5,5,5
295,49512,"""49512"" : 5; [4, 9, 5, 1, 2]",5,5,5
296,26944,"""26944"" : 5; [2, 6, 9, 4, 4]",5,5,5
297,19996,"""19996"" : 5; [1, 9, 9, 9, 6]",5,5,5
298,99420,"""99420"" : 5; [9, 9, 4, 2, 0]",5,5,5
299,59130,"""59130"" : 5; [5, 9, 1, 3, 0]",5,5,5
300,66393,"""66393"" : 5; [6, 6, 3, 9, 3]",5,5,5
301,90987,"""90987"" : 5; [9, 0, 9, 8, 7]",5,5,5
302,39028,"""39028"" : 5; [3, 9, 0, 2, 8]",5,5,5
303,67301,"""67301"" : 5; [6, 7, 3, 0, 1]",5,5,5
304,25818,"""25818"" : 5; [2, 5, 8, 1, 8]",5,5,5
305,18015,"""18015"" : 5; [1, 8, 0, 1, 5]",5,5,5
306,98045,"""98045"" : 5; [9, 8, 0, 4, 5]",5,5,5
307,24900,"""24900"" : 5; [2, 4, 9, 0, 0]",5,5,5
308,15458,"""15458"" : 5; [1, 5, 4, 5, 8]",5,5,5
309,82812,"""82812"" : 5; [8, 2, 8, 1, 2]",5,5,5
310,30011,"""30011"" : 5; [3, 0, 0, 1, 1]",5,5,5
311,86218,"""86218"" : 5; [8, 6, 2, 1, 8]",5,5,5
312,95638,"""95638"" : 5; [9, 5, 6, 3, 8]",5,5,5
313,88578,"""88578"" : 5; [8, 8, 5, 7, 8]",5,5,5
314,18938,"""18938"" : 5; [1, 8, 9, 3, 8]",5,5,5
315,97883,"""97883"" : 5; [9, 7, 8, 8, 3]",5,5,5
316,20025,"""20025"" : 5; [2, 0, 0, 2, 5]",5,5,5
317,27233,"""27233"" : 5; [2, 7, 2, 3, 3]",5,5,5
318,22984,"""22984"" : 5; [2, 2, 9, 8, 4]",5,5,5
319,85174,"""85174"" : 5; [8, 5, 1, 7, 4]",5,5,5
320,24039,"""24039"" : 5; [2, 4, 0, 3, 9]",5,5,5
321,25190,"""25190"" : 5; [2, 5, 1, 9, 0]",5,5,5
322,65271,"""65271"" : 5; [6, 5, 2, 7, 1]",5,5,5
323,79478,"""79478"" : 5; [7, 9, 4, 7, 8]",5,5,5
324,29205,"""29205"" : 5; [2, 9, 2, 0, 5]",5,5,5
325,80922,"""80922"" : 5; [8, 0, 9, 2, 2]",5,5,5
326,52086,"""52086"" : 5; [5, 2, 0, 8, 6]",5,5,5
327,98344,"""98344"" : 5; [9, 8, 3, 4, 4]",5,5,5
328,83929,"""83929"" : 5; [8, 3, 9, 2, 9]",5,5,5
329,73806,"""73806"" : 5; [7, 3, 8, 0, 6]",5,5,5
330,30310,"""30310"" : 5; [3, 0, 3, 1, 0]",5,5,5
331,91194,"""91194"" : 5; [9, 1, 1, 9, 4]",5,5,5
332,52839,"""52839"" : 5; [5, 2, 8, 3, 9]",5,5,5
333,14826,"""14826"" : 5; [1, 4, 8, 2, 6]",5,5,5
334,44125,"""44125"" : 5; [4, 4, 1, 2, 5]",5,5,5
335,90694,"""90694"" : 5; [9, 0, 6, 9, 4]",5,5,5
336,81043,"""81043"" : 5; [8, 1, 0, 4, 3]",5,5,5
337,27245,"""27245"" : 5; [2, 7, 2, 4, 5]",5,5,5
338,50148,"""50148"" : 5; [5, 0, 1, 4, 8]",5,5,5
339,61348,"""61348"" : 5; [6, 1, 3, 4, 8]",5,5,5
340,79670,"""79670"" : 5; [7, 9, 6, 7, 0]",5,5,5
341,50170,"""50170"" : 5; [5, 0, 1, 7, 0]",5,5,5
342,53862,"""53862"" : 5; [5, 3, 8, 6, 2]",5,5,5
343,74140,"""74140"" : 5; [7, 4, 1, 4, 0]",5,5,5
344,84649,"""84649"" : 5; [8, 4, 6, 4, 9]",5,5,5
345,35692,"""35692"" : 5; [3, 5, 6, 9, 2]",5,5,5
346,99535,"""99535"" : 5; [9, 9, 5, 3, 5]",5,5,5
347,28298,"""28298"" : 5; [2, 8, 2, 9, 8]",5,5,5
348,70085,"""70085"" : 5; [7, 0, 0, 8, 5]",5,5,5
349,97153,"""97153"" : 5; [9, 7, 1, 5, 3]",5,5,5
350,81108,"""81108"" : 5; [8, 1, 1, 0, 8]",5,5,5
351,94826,"""94826"" : 5; [9, 4, 8, 2, 6]",5,5,5
352,35525,"""35525"" : 5; [3, 5, 5, 2, 5]",5,5,5
353,44283,"""44283"" : 5; [4, 4, 2, 8, 3]",5,5,5
354,25152,"""25152"" : 5; [2, 5, 1, 5, 2]",5,5,5
355,53203,"""53203"" : 5; [5, 3, 2, 0, 3]",5,5,5
356,79042,"""79042"" : 5; [7, 9, 0, 4, 2]",5,5,5
357,16458,"""16458"" : 5; [1, 6, 4, 5, 8]",5,5,5
358,69072,"""69072"" : 5; [6, 9, 0, 7, 2]",5,5,5
359,28534,"""28534"" : 5; [2, 8, 5, 3, 4]",5,5,5
360,87104,"""87104"" : 5; [8, 7, 1, 0, 4]",5,5,5
361,47183,"""47183"" : 5; [4, 7, 1, 8, 3]",5,5,5
362,92085,"""92085"" : 5; [9, 2, 0, 8, 5]",5,5,5
363,62545,"""62545"" : 5; [6, 2, 5, 4, 5]",5,5,5
364,38991,"""38991"" : 5; [3, 8, 9, 9, 1]",5,5,5
365,97691,"""97691"" : 5; [9, 7, 6, 9, 1]",5,5,5
366,21255,"""21255"" : 5; [2, 1, 2, 5, 5]",5,5,5
367,61459,"""61459"" : 5; [6, 1, 4, 5, 9]",5,5,5
368,58070,"""58070"" : 5; [5, 8, 0, 7, 0]",5,5,5
369,93171,"""93171"" : 5; [9, 3, 1, 7, 1]",5,5,5
370,75645,"""75645"" : 5; [7, 5, 6, 4, 5]",5,5,5
371,30186,"""30186"" : 5; [3, 0, 1, 8, 6]",5,5,5
372,13158,"""13158"" : 5; [1, 3, 1, 5, 8]",5,5,5
373,15205,"""15205"" : 5; [1, 5, 2, 0, 5]",5,5,5
374,56768,"""56768"" : 5; [5, 6, 7, 6, 8]",5,5,5
375,22842,"""22842"" : 5; [2, 2, 8, 4, 2]",5,5,5
376,28436,"""28436"" : 5; [2, 8, 4, 3, 6]",5,5,5
377,96651,"""96651"" : 5; [9, 6, 6, 5, 1]",5,5,5
378,96698,"""96698"" : 5; [9, 6, 6, 9, 8]",5,5,5
379,83722,"""83722"" : 5; [8, 3, 7, 2, 2]",5,5,5
380,84247,"""84247"" : 5; [8, 4, 2, 4, 7]",5,5,5
381,31536,"""31536"" : 5; [3, 1, 5, 3, 6]",5,5,5
382,69417,"""69417"" : 5; [6, 9, 4, 1, 7]",5,5,5
383,55318,"""55318"" : 5; [5, 5, 3, 1, 8]",5,5,5
384,36736,"""36736"" : 5; [3, 6, 7, 3, 6]",5,5,5
385,55925,"""55925"" : 5; [5, 5, 9, 2, 5]",5,5,5
386,69289,"""69289"" : 5; [6, 9, 2, 8, 9]",5,5,5
387,81661,"""81661"" : 5; [8, 1, 6, 6, 1]",5,5,5
388,20692,"""20692"" : 5; [2, 0, 6, 9, 2]",5,5,5
389,41521,"""41521"" : 5; [4, 1, 5, 2, 1]",5,5,5
390,81326,"""81326"" : 5; [8, 1, 3, 2, 6]",5,5,5
391,20148,"""20148"" : 5; [2, 0, 1, 4, 8]",5,5,5
392,33366,"""33366"" : 5; [3, 3, 3, 6, 6]",5,5,5
393,22043,"""22043"" : 5; [2, 2, 0, 4, 3]",5,5,5
394,50059,"""50059"" : 5; [5, 0, 0, 5, 9]",5,5,5
395,79246,"""79246"" : 5; [7, 9, 2, 4, 6]",5,5,5
396,17192,"""17192"" : 5; [1, 7, 1, 9, 2]",5,5,5
397,83379,"""83379"" : 5; [8, 3, 3, 7, 9]",5,5,5
398,85708,"""85708"" : 5; [8, 5, 7, 0, 8]",5,5,5
399,68588,"""68588"" : 5; [6, 8, 5, 8, 8]",5,5,5
